,name,last_rs,high_rs,low_rs,last_usd,high_usd,low_usd,chg,chg_perc,vol,time
0,Intel,308.390495,313.419455,305.876015,58.87,59.83,58.39,-1.79,-2.95,22.84M,1586980799
1,Microsoft,900.39338,909.246445,886.56374,171.88,173.57,169.24,-1.82,-1.05,40.94M,1586980799
2,eBay,189.581315,190.73378499999998,183.76658,36.19,36.41,35.08,0.45,1.26,10.65M,1586980799
3,Cisco,217.50252000000003,221.955245,215.983355,41.52,42.37,41.23,-1.26,-2.95,18.43M,1586980799
4,Kraft Heinz,146.93992500000002,147.149465,143.587285,28.05,28.09,27.41,-0.4,-1.41,6.21M,1586980799
5,Vertex,1337.022355,1376.78257,1332.202935,255.23,262.82,254.31,-7.18,-2.74,2.69M,1586980799
6,Monster Beverage,326.306165,330.65412,323.11068,62.29,63.12,61.68,-2.12,-3.29,3.49M,1586980799
7,Cintas,979.966195,1032.036885,974.9372350000001,187.07,197.01,186.11,-14.63,-7.25,915.20K,1586980799
8,Autodesk,886.0398899999999,903.85079,877.13444,169.14,172.54,167.44,-3.08,-1.79,2.01M,1586980799
9,Gilead,390.949255,401.216715,390.111095,74.63,76.59,74.47,-3.12,-4.01,11.40M,1586980799
10,Alphabet A,6586.36605,6679.663735,6464.309,1257.3,1275.11,1234.0,-7.93,-0.63,2.11M,1586980799
11,Fiserv,490.63791,499.700515,486.289955,93.66,95.39,92.83,-3.19,-3.29,6.38M,1586980799
12,Liberty Global,94.45015500000001,95.65501,92.72145,18.03,18.26,17.7,-0.52,-2.8,1.41M,1586980799
13,Adobe,1742.063175,1777.0039700000002,1726.871525,332.55,339.22,329.65,-8.21,-2.41,2.82M,1586980799
14,Qualcomm,398.07361499999996,399.90709000000004,387.806155,75.99,76.34,74.03,-1.56,-2.01,9.95M,1586980799
15,Baidu,528.407495,528.6694200000001,510.07274500000005,100.87,100.92,97.37,-0.05,-0.05,2.77M,1586980799
16,Applied Materials,263.863245,268.787435,260.61537500000003,50.37,51.31,49.75,-2.1,-4.0,7.21M,1586980799
17,Cadence Design,396.55445000000003,399.016545,389.063395,75.7,76.17,74.27,-0.62,-0.82,2.25M,1586980799
18,Microchip,411.58894499999997,417.19414,405.04082,78.57,79.64,77.32,-3.37,-4.11,2.53M,1586980799
19,Intuitive Surgical,2676.8735,2688.8696649999997,2572.41781,511.0,513.29,491.06,3.06,0.6,839.21K,1586980799
20,Paychex,339.926265,341.23589000000004,334.94969,64.89,65.14,63.94,-1.25,-1.89,2.37M,1586980799
