     Unnamed: 0                      name  last_usd  high_usd  low_usd    chg chg_perc      vol        time  Unnamed: 9               created_date
0           NaN                     Intel     58.87     59.83    58.39  -1.79    -2.95   22.84M  1586980799         NaN 2020-04-16 00:05:54.482374
1           NaN                 Microsoft    171.88    173.57   169.24  -1.82    -1.05   40.94M  1586980799         NaN 2020-04-16 00:05:54.482374
2           NaN                      eBay     36.19     36.41    35.08   0.45    +1.26   10.65M  1586980799         NaN 2020-04-16 00:05:54.482374
3           NaN                     Cisco     41.52     42.37    41.23  -1.26    -2.95   18.43M  1586980799         NaN 2020-04-16 00:05:54.482374
4           NaN               Kraft Heinz     28.05     28.09    27.41  -0.40    -1.41    6.21M  1586980799         NaN 2020-04-16 00:05:54.482374
5           NaN                    Vertex    255.23    262.82   254.31  -7.18    -2.74    2.69M  1586980799         NaN 2020-04-16 00:05:54.482374
6           NaN          Monster Beverage     62.29     63.12    61.68  -2.12    -3.29    3.49M  1586980799         NaN 2020-04-16 00:05:54.482374
7           NaN                    Cintas    187.07    197.01   186.11 -14.63    -7.25  915.20K  1586980799         NaN 2020-04-16 00:05:54.482374
8           NaN                  Autodesk    169.14    172.54   167.44  -3.08    -1.79    2.01M  1586980799         NaN 2020-04-16 00:05:54.482374
9           NaN                    Gilead     74.63     76.59    74.47  -3.12    -4.01   11.40M  1586980799         NaN 2020-04-16 00:05:54.482374
10          NaN                Alphabet A   1257.30   1275.11  1234.00  -7.93    -0.63    2.11M  1586980799         NaN 2020-04-16 00:05:54.482374
11          NaN                    Fiserv     93.66     95.39    92.83  -3.19    -3.29    6.38M  1586980799         NaN 2020-04-16 00:05:54.482374
12          NaN            Liberty Global     18.03     18.26    17.70  -0.52    -2.80    1.41M  1586980799         NaN 2020-04-16 00:05:54.482374
13          NaN                     Adobe    332.55    339.22   329.65  -8.21    -2.41    2.82M  1586980799         NaN 2020-04-16 00:05:54.482374
14          NaN                  Qualcomm     75.99     76.34    74.03  -1.56    -2.01    9.95M  1586980799         NaN 2020-04-16 00:05:54.482374
15          NaN                     Baidu    100.87    100.92    97.37  -0.05    -0.05    2.77M  1586980799         NaN 2020-04-16 00:05:54.482374
16          NaN         Applied Materials     50.37     51.31    49.75  -2.10    -4.00    7.21M  1586980799         NaN 2020-04-16 00:05:54.482374
17          NaN            Cadence Design     75.70     76.17    74.27  -0.62    -0.82    2.25M  1586980799         NaN 2020-04-16 00:05:54.482374
18          NaN                 Microchip     78.57     79.64    77.32  -3.37    -4.11    2.53M  1586980799         NaN 2020-04-16 00:05:54.482374
19          NaN        Intuitive Surgical    511.00    513.29   491.06   3.06    +0.60  839.21K  1586980799         NaN 2020-04-16 00:05:54.482374
20          NaN                   Paychex     64.89     65.14    63.94  -1.25    -1.89    2.37M  1586980799         NaN 2020-04-16 00:05:54.482374
21          NaN                  VeriSign    201.30    203.51   198.50  -3.04    -1.49  499.18K  1586980799         NaN 2020-04-16 00:05:54.482374
22          NaN                     Apple    284.43    286.33   280.63  -2.62    -0.91   32.79M  1586980799         NaN 2020-04-16 00:05:54.482374
23          NaN                  Fastenal     34.56     34.81    33.72   0.02    +0.06    4.96M  1586980799         NaN 2020-04-16 00:05:54.482374
24          NaN            Citrix Systems    145.09    145.57   141.44   1.33    +0.93    1.99M  1586980799         NaN 2020-04-16 00:05:54.482374
25          NaN                 Sirius XM      5.30      5.34     5.20  -0.12    -2.21   21.00M  1586980799         NaN 2020-04-16 00:05:54.482374
26          NaN                    PACCAR     65.38     65.70    64.70  -1.43    -2.14    2.74M  1586980799         NaN 2020-04-16 00:05:54.482374
27          NaN                Amazon.com   2307.68   2333.37  2245.00  24.36    +1.07    6.87M  1586980799         NaN 2020-04-16 00:05:54.482374
28          NaN               Ross Stores     88.56     89.35    86.20  -2.41    -2.65    2.38M  1586980799         NaN 2020-04-16 00:05:54.482374
29          NaN                   NetEase    349.82    350.77   338.20   7.96    +2.33  361.26K  1586980799         NaN 2020-04-16 00:05:54.482374
30          NaN                    NetApp     40.43     42.35    40.28  -2.71    -6.28    1.63M  1586980799         NaN 2020-04-16 00:05:54.482374
31          NaN                    Costco    310.27    313.75   306.82  -3.87    -1.23    2.94M  1586980799         NaN 2020-04-16 00:05:54.482374
32          NaN      Check Point Software    102.10    104.10   101.65  -1.68    -1.62    1.56M  1586980799         NaN 2020-04-16 00:05:54.482374
